Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.176858513		-2.269729052	5.293774538	3.285766567	2.635777011	2.236397266	0.000000000
0.177857714		-2.242585344	5.249213281	3.281204450	2.634468573	2.230575240	0.000000000
0.178856914		-2.215062605	5.198797068	3.273334869	2.630809370	2.221969675	0.000000000
0.179856115		-2.187126419	5.142523864	3.261927791	2.624646969	2.210493051	0.000000000
0.180855316		-2.158736706	5.080426770	3.246769396	2.615817682	2.196069285	0.000000000
0.181854516		-2.129851450	5.012564517	3.227657815	2.604149005	2.178629972	0.000000000
0.182853717		-2.100423677	4.939020101	3.204411581	2.589469984	2.158119497	0.000000000
0.183852918		-2.070399623	4.859902471	3.176873618	2.571614852	2.134497829	0.000000000
0.184852118		-2.039716083	4.775346930	3.144924252	2.550438858	2.107748490	0.000000000
0.185851319		-2.008299161	4.685511918	3.108480274	2.525818366	2.077877849	0.000000000
0.186850520		-1.976065851	4.590569118	3.067487488	2.497645588	2.044909086	0.000000000
0.187849720		-1.942911723	4.490713724	3.021940096	2.465851016	2.008898279	0.000000000
0.188848921		-1.908714708	4.386141467	2.971848242	2.430371827	1.969911707	0.000000000
0.189848122		-1.873350098	4.277082688	2.917297057	2.391217979	1.928061907	0.000000000
0.190847322		-1.836684148	4.163745860	2.858356758	2.348378761	1.883449308	0.000000000
0.191846523		-1.798580052	4.046362785	2.795153773	2.301901018	1.836209381	0.000000000
0.192845723		-1.758894244	3.925171802	2.727847334	2.251867649	1.786498135	0.000000000
0.193844924		-1.717432180	3.800327627	2.656479063	2.198233748	1.734402065	0.000000000
0.194844125		-1.674068944	3.672067432	2.581236641	2.141114264	1.680087348	0.000000000
0.195843325		-1.628709745	3.540637937	2.502360846	2.080695388	1.623746106	0.000000000
0.196842526		-1.581216585	3.406230791	2.419998677	2.017058662	1.565517886	0.000000000
0.197841727		-1.531393877	3.268974355	2.334200877	1.950179470	1.505490206	0.000000000
0.198840927		-1.479125979	3.129045624	2.245114854	1.880146922	1.443795355	0.000000000
0.199840128		-1.424417414	2.986695995	2.153042713	1.807241410	1.380640676	0.000000000
0.200839329		-1.367104450	2.842041556	2.058044169	1.731462491	1.316110941	0.000000000
0.201838529		-1.307181224	2.695244263	1.960273330	1.652925856	1.250315556	0.000000000
0.202837730		-1.244638317	2.546447049	1.859857271	1.571719865	1.183346467	0.000000000
0.203836930		-1.179550159	2.395817510	1.756976949	1.488002992	1.115311823	0.000000000
0.204836131		-1.111988284	2.243491805	1.651761248	1.401875589	1.046285090	0.000000000
0.205835332		-1.042029755	2.089586813	1.544308805	1.313404701	0.976317641	0.000000000
0.206834532		-0.969837254	1.934252696	1.434785885	1.222743968	0.905486323	0.000000000
0.207833733		-0.895581801	1.777621924	1.323330558	1.130016464	0.833846786	0.000000000
0.208832934		-0.819405973	1.619793156	1.210022523	1.035276306	0.761421503	0.000000000
0.209832134		-0.741515445	1.460888932	1.094989973	0.938640269	0.688250932	0.000000000
0.210831335		-0.662130046	1.301024237	0.978350640	0.840214963	0.614364948	0.000000000
0.211830536		-0.581478507	1.140314307	0.860225596	0.740113492	0.539793722	0.000000000
0.212829736		-0.499828990	0.978887548	0.740761640	0.638482845	0.464575761	0.000000000
0.213828937		-0.417291379	0.816779052	0.619942242	0.535270238	0.388675038	0.000000000
